service_id,date,exception_type
12345-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230504,1
12345-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230505,1
12345-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230509,1
12345-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230510,1
12345-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230511,1
12345-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230512,1
12345-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230515,1
12345-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230516,1
12345-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230517,1
12345-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230522,1
12345-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230523,1
12345-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230524,1
12345-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230525,1
12345-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230530,1
12345-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230531,1
12345-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230601,1
**3**-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230426,1
**3**-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230503,1
**3**-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230510,1
**3**-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230517,1
**3**-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230524,1
**3**-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230531,1
12*45-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230526,1
12*45-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230602,1
12*45-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230424,1
12*45-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230425,1
12*45-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230427,1
12*45-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230428,1
12*45-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230502,1
12*45-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230504,1
12*45-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230505,1
12*45-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230509,1
12*45-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230511,1
12*45-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230512,1
12*45-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230515,1
12*45-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230516,1
12*45-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230522,1
12*45-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230523,1
12*45-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230525,1
12*45-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230530,1
12*45-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230601,1
****5-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230526,1
****5-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230602,1
****5-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230428,1
****5-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230505,1
****5-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230512,1
1****-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230424,1
1****-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230515,1
1****-MFHLV11c_ST0_11_HI2223-MFHLV12c_ST0_12_HI2223,20230522,1
1234567-MFHS09_ST5_9_HI2223,20230415,1
1234567-MFHS09_ST5_9_HI2223,20230422,1
1234567-MFHS09_ST5_9_HI2223,20230429,1
1234567-MFHS09_ST5_9_HI2223,20230506,1
1234567-MFHS09_ST5_9_HI2223,20230513,1
1234567-MFHS09_ST5_9_HI2223,20230520,1
1234567-MFHS09_ST5_9_HI2223,20230527,1
1234567-MFHS09_ST5_9_HI2223,20230603,1
1234567-MFHD06_ST6_6_HI2223-MFHD07_ST6_7_HI2223,20230416,1
1234567-MFHD06_ST6_6_HI2223-MFHD07_ST6_7_HI2223,20230423,1
1234567-MFHD06_ST6_6_HI2223-MFHD07_ST6_7_HI2223,20230508,1
1234567-MFHD06_ST6_6_HI2223-MFHD07_ST6_7_HI2223,20230514,1
1234567-MFHD06_ST6_6_HI2223-MFHD07_ST6_7_HI2223,20230521,1
1234567-MFHD06_ST6_6_HI2223-MFHD07_ST6_7_HI2223,20230529,1
